IataCode,AirportName,CityName,CountryName,Source
DSS,Blaise Diagne International Airport,Diass,Senegal,OpenFlights
DTW,Detroit Metropolitan Wayne County Airport,Detroit,United States,OpenFlights
DUB,Dublin Airport,Dublin,Ireland,OpenFlights
DUS,Düsseldorf Airport,Duesseldorf,Germany,OpenFlights
DXB,Dubai International Airport,Dubai,United Arab Emirates,OpenFlights
EGE,Eagle County Regional Airport,Vail,United States,OpenFlights
ELP,El Paso International Airport,El Paso,United States,OpenFlights
EWR,Newark Liberty International Airport,Newark,United States,OpenFlights
EYW,Key West International Airport,Key West,United States,OpenFlights
EZE,Ministro Pistarini International Airport,Buenos Aires,Argentina,OpenFlights
FAI,Fairbanks International Airport,Fairbanks,United States,OpenFlights
FAR,Hector International Airport,Fargo,United States,OpenFlights
FAT,Fresno Yosemite International Airport,Fresno,United States,OpenFlights
FCA,Glacier Park International Airport,Kalispell,United States,OpenFlights
FCO,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,OpenFlights
FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,OpenFlights
FNT,Bishop International Airport,Flint,United States,OpenFlights
FRA,Frankfurt am Main Airport,Frankfurt,Germany,OpenFlights
FSD,Joe Foss Field Airport,Sioux Falls,United States,OpenFlights
GCM,Owen Roberts International Airport,Georgetown,Cayman Islands,OpenFlights
GDL,Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,Mexico,OpenFlights
GEG,Spokane International Airport,Spokane,United States,OpenFlights
GIG,Rio Galeão – Tom Jobim International Airport,Rio De Janeiro,Brazil,OpenFlights
GPT,Gulfport Biloxi International Airport,Gulfport,United States,OpenFlights
GRB,Austin Straubel International Airport,Green Bay,United States,OpenFlights
GRR,Gerald R. Ford International Airport,Grand Rapids,United States,OpenFlights
GRU,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,OpenFlights
GSP,Greenville Spartanburg International Airport,Greenville,United States,OpenFlights
GTF,Great Falls International Airport,Great Falls,United States,OpenFlights
GUA,La Aurora Airport,Guatemala City,Guatemala,OpenFlights
GUC,Gunnison Crested Butte Regional Airport,Gunnison,United States,OpenFlights
GUM,Antonio B. Won Pat International Airport,Agana,Guam,OpenFlights
HDN,Yampa Valley Airport,Hayden,United States,OpenFlights
HKG,Hong Kong International Airport,Hong Kong,Hong Kong,OpenFlights
HLN,Helena Regional Airport,Helena,United States,OpenFlights
HNL,Daniel K Inouye International Airport,Honolulu,United States,OpenFlights
HOU,William P Hobby Airport,Houston,United States,OpenFlights
HSV,Huntsville International Carl T Jones Field,Huntsville,United States,OpenFlights
IAD,Washington Dulles International Airport,Washington,United States,OpenFlights
IAH,George Bush Intercontinental Houston Airport,Houston,United States,OpenFlights
IDA,Idaho Falls Regional Airport,Idaho Falls,United States,OpenFlights
